Image Name,Lux Value
04.26_21.06.png,166.66666666666788
05.18_21.09.png,0.0
05.26_21.06.png,1549.4010416666679
05.32_21.03.png,0.0
06.18_21.09.png,1134.21875
06.22_21.12.png,0.0
06.26_21.06.png,5583.070023148148
06.32_21.03.png,1102.2395833333358
07.18_21.09.png,5487.838541666668
07.22_21.12.png,668.3333333333358
07.26_21.06.png,9396.582754629631
07.32_21.03.png,5244.574652777777
08.18_21.09.png,9887.488012566137
08.22_21.12.png,1982.4479166666679
08.26_21.06.png,13595.59978505291
08.32_21.03.png,9729.689980158731
09.18_21.09.png,13708.402261078041
09.22_21.12.png,6938.86946097884
09.26_21.06.png,16782.612537202378
09.32_21.03.png,13523.450934193119
10.18_21.09.png,16807.051401289682
10.22_21.12.png,10177.284639550267
10.26_21.06.png,20728.899016203704
10.32_21.03.png,16611.495019014554
11.18_21.09.png,18388.18462714947
11.22_21.12.png,11399.773478835981
11.26_21.06.png,22255.99681712963
11.32_21.03.png,18288.92712466931
12.18_21.09.png,18481.055720899472
12.22_21.12.png,11450.892030423285
12.26_21.06.png,22627.029079861113
12.32_21.03.png,18414.949673445764
13.18_21.09.png,17033.584449404763
13.22_21.12.png,10481.441075562172
13.26_21.06.png,21111.429914847882
13.32_21.03.png,17042.81218998016
14.18_21.09.png,14179.324776785714
14.22_21.12.png,8396.114934689154
14.26_21.06.png,17155.19283234127
14.32_21.03.png,14141.431568287033
15.18_21.09.png,10189.812748015873
15.22_21.12.png,3514.1145833333358
15.26_21.06.png,14401.734561011905
15.32_21.03.png,10167.354910714286
16.18_21.09.png,6551.332051917991
16.22_21.12.png,1144.5572916666642
16.26_21.06.png,9847.208271329364
16.32_21.03.png,6493.856956845237
17.18_21.09.png,1716.3975694444453
17.22_21.12.png,0.0
17.26_21.06.png,6476.9583953373
17.32_21.03.png,1709.076967592593
18.18_21.09.png,0.026041666667879326
18.26_21.06.png,1800.9895833333358
18.32_21.03.png,0.0
19.26_21.06.png,391.5625
